step,price,fundamental,log_return,volume,strategy_entropy,n_families,wealth_gini,acf1,mean_fitness
31,99.76675216025305,99.76675216025305,-6.814371534078742e-05,0.0,6.214608098422218,500,0.0016660183936613598,0.0,19945.89741606081
32,99.71567044433002,99.71567044433002,-0.0005121425373984855,0.0,6.214608098422218,500,0.0020461601570941246,0.0,19934.947846196148
33,99.71407736366643,99.71407736366643,-1.5976359405970447e-05,0.0,6.214608098422218,500,0.002097305675579102,0.0,19933.639363227092
34,99.69418508366945,99.69418508366945,-0.00019951309759012837,0.0,6.214608098422218,500,0.0022660376875375354,0.0,19929.63759231898
35,99.6972572173433,99.6972572173433,3.081510057446255e-05,0.0,6.214608098422218,500,0.0022799255322376085,0.0,19928.528043452847
36,99.68185316309165,99.68185316309165,-0.00015452024289728218,0.0,6.214608098422218,500,0.002293403979381553,0.0,19924.60153722182
37,99.6845677288065,99.6845677288065,2.7231925044106975e-05,0.0,6.214608098422218,500,0.0023193590785560722,0.0,19922.475845475106
38,99.68174896395352,99.68174896395352,-2.8277242614710725e-05,0.0,6.214608098422218,500,0.0023277269757763955,0.0,19921.497497428925
39,99.66447705338973,99.66447705338973,-0.00017328555400405532,0.0,6.214608098422218,500,0.0023502044749113427,0.0,19914.3422169012
40,99.66331621810426,99.66331621810426,-1.1647500495889786e-05,0.0,6.214608098422218,500,0.002383487116744645,0.0,19912.547566676596
41,99.66843855142174,99.66843855142174,5.139505569030465e-05,0.0,6.214608098422218,500,0.0024772097566598686,0.0,19909.356201676674
42,99.6519202697705,99.6519202697705,-0.00016574605611540438,0.0,6.214608098422218,500,0.002512678939220952,0.0,19904.539298008996
43,99.63141542550802,99.63141542550802,-0.00020578584017869284,0.0,6.214608098422218,500,0.00248238806333376,0.0,19897.891104313017
44,99.62945185691426,99.62945185691426,-1.9708522005387705e-05,0.0,6.214608098422218,500,0.0025012798701921713,0.0,19896.90576731102
45,99.61459904465441,99.61459904465441,-0.0001490916513707899,0.0,6.214608098422218,500,0.002512689345956545,0.0,19890.330251437103
46,99.61866446096359,99.61866446096359,4.081061804842625e-05,0.0,6.214608098422218,500,0.0025508240702446817,0.0,19884.94094385222
47,99.61007553655915,99.61007553655915,-8.622174099846792e-05,0.0,6.214608098422218,500,0.00261756520407997,0.0,19883.018302851582
48,99.61344749112938,99.61344749112938,3.38509681919491e-05,0.0,6.214608098422218,500,0.002728140748039467,0.0,19875.22148306097
49,99.6188810613356,99.6188810613356,5.4545065522728736e-05,0.0,6.214608098422218,500,0.0027970810246397155,0.0,19868.24950788715
50,99.61989012797214,99.61989012797214,1.012921963463668e-05,0.0,6.214608098422218,500,0.0028554577425152225,0.0,19866.755568981705
51,99.61625706531012,99.61625706531012,-3.6469914858393265e-05,0.0,6.214608098422218,500,0.003012637759429935,0.0,19858.2734000121
52,99.61537679733227,99.61537679733227,-8.836628609517393e-06,0.0,6.214608098422218,500,0.0030681650972190005,0.0,19851.183119233923
53,99.57480592896086,99.57480592896086,-0.0004073581175252799,0.0,6.214608098422218,500,0.0033541533142363612,0.0,19841.842215058903
54,99.56973781080936,99.56973781080936,-5.0898890398031164e-05,0.0,6.214608098422218,500,0.0034178079004686616,0.0,19839.93014106237
55,99.5347366946642,99.5347366946642,-0.00035158543365372726,0.0,6.214608098422218,500,0.0036865314655937604,0.0,19832.06484693823
